id;inversor_id;modulo_id;qtd_max
1428;37;14;9
1429;38;14;13
1430;39;14;16
1431;40;14;19
1432;41;14;24
1433;42;14;32
1434;43;14;39
1435;44;14;49
1436;45;14;65
1437;46;14;38
1438;47;14;80
1439;48;14;80
1440;49;14;80
1441;50;14;80
1442;51;14;80
1443;52;14;160
1444;53;14;200
1445;54;14;200
1446;55;14;327
1447;56;14;720
1448;57;14;60
1449;58;14;163
1450;59;14;245
1451;60;14;29
1452;61;14;36
1453;62;14;41
1454;63;14;49
1455;64;14;54
1456;65;14;61
1457;66;14;27
1458;67;14;16
1459;68;14;24
1460;69;14;32
1461;70;14;8
1462;71;14;9
1463;72;14;13
1464;73;14;16
1465;74;14;20
1466;75;14;27
1467;76;14;29
1468;77;14;41
1469;78;14;41
1470;79;14;49
1471;80;14;55
1472;81;14;55
1473;82;14;61
1474;83;14;69
1475;84;14;69
1476;85;14;83
1477;86;14;83
1478;87;14;111
1479;88;14;139
1480;89;14;163
1481;90;14;167
1482;91;14;196
1483;92;14;209
1484;93;14;245
1485;94;14;278
1486;95;14;306
1487;96;14;348
1488;97;14;696
1489;98;14;16
1490;99;14;19
1491;100;14;24
1492;101;14;32
1493;102;14;36
1494;103;14;49
1495;104;14;49
1496;105;14;61
1497;106;14;73
1498;107;14;122
1499;1;15;7
1500;2;15;12
1501;3;15;14
1502;4;15;18
1503;5;15;19
1504;6;15;24
1505;7;15;8
1506;8;15;11
1507;9;15;14
1508;10;15;17
1509;11;15;22
1510;12;15;22
1511;13;15;28
1512;14;15;34
1513;15;15;40
1514;16;15;42
1515;17;15;40
1516;18;15;48
1517;19;15;40
1518;20;15;68
1519;21;15;71
1520;22;15;80
1521;23;15;85
1522;24;15;80
1523;25;15;100
1524;26;15;114
1525;27;15;122
1526;28;15;120
1527;29;15;160
1528;30;15;171
1529;31;15;185
1530;32;15;160
1531;33;15;180
1532;34;15;285
1533;35;15;314
1534;36;15;372
1535;37;15;8
1536;38;15;11
1537;39;15;14
1538;40;15;17
1539;41;15;21
1540;42;15;28
1541;43;15;34
1542;44;15;42
1543;45;15;57
1544;46;15;38
1545;47;15;71
1546;48;15;71
1547;49;15;80
1548;50;15;80
1549;51;15;80
1550;52;15;142
1551;53;15;200
1552;54;15;200
1553;55;15;285
1554;56;15;714
1555;57;15;57
1556;58;15;142
1557;59;15;214
1558;60;15;25
1559;61;15;32
1560;62;15;34
1561;63;15;42
1562;64;15;47
1563;65;15;53
1564;66;15;24
1565;67;15;14
1566;68;15;21
1567;69;15;28
1568;70;15;7
1569;71;15;8
1570;72;15;12
1571;73;15;14
1572;74;15;18
1573;75;15;24
1574;76;15;25
1575;77;15;36
1576;78;15;36
1577;79;15;40
1578;80;15;48
1579;81;15;48
1580;82;15;53
1581;83;15;60
1582;84;15;60
1583;85;15;72
1584;86;15;72
1585;87;15;97
1586;88;15;121
1587;89;15;142
1588;90;15;145
1589;91;15;171
1590;92;15;182
1591;93;15;214
1592;94;15;242
1593;95;15;267
1594;96;15;303
1595;97;15;372
1596;98;15;14
1597;99;15;17
1598;100;15;21
1599;101;15;28
1600;102;15;32
1601;103;15;42
1602;104;15;42
1603;105;15;53
1604;106;15;64
1605;107;15;107
1606;1;16;7
1607;2;16;13
1608;3;16;15
1609;4;16;19
1610;5;16;21
1611;6;16;26
1612;7;16;9
1613;8;16;11
1614;9;16;15
1615;10;16;18
1616;11;16;22
1617;12;16;22
1618;13;16;31
1619;14;16;37
1620;15;16;40
1621;16;16;46
1622;17;16;40
1623;18;16;53
1624;19;16;62
1625;20;16;75
1626;21;16;78
1627;22;16;60
1628;23;16;93
1629;24;16;80
1630;25;16;109
1631;26;16;120
1632;27;16;134
1633;28;16;156
1634;29;16;160
1635;30;16;187
1636;31;16;203
1637;32;16;160
1638;33;16;170
1639;34;16;312
1640;35;16;320
1641;36;16;720
1642;37;16;9
1643;38;16;12
1644;39;16;15
1645;40;16;18
1646;41;16;23
1647;42;16;31
1648;43;16;37
1649;44;16;46
1650;45;16;62
1651;46;16;38
1652;47;16;78
1653;48;16;78
1654;49;16;80
1655;50;16;80
1656;51;16;80
1657;52;16;156
